# Stokes at t0, r0=1.0000 km.  Body A then B.
# body  l  m  C_lm  S_lm
A 0 0 1.000000000000000e0 0.000000000000000e0
A 1 0 -4.891500212762147e-17 0.000000000000000e0
A 1 1 8.776126946402183e-18 -1.088511869321201e-19
A 2 0 -2.210723241636009e-3 0.000000000000000e0
A 2 1 -3.127770824502639e-18 5.816735301685168e-19
A 2 2 3.280422458366988e-3 -8.496515459970299e-17
B 0 0 1.000000000000000e0 0.000000000000000e0
B 1 0 0.000000000000000e0 0.000000000000000e0
B 1 1 0.000000000000000e0 0.000000000000000e0
B 2 0 -8.192054300000003e-4 0.000000000000000e0
B 2 1 0.000000000000000e0 0.000000000000000e0
B 2 2 2.607337860000001e-3 0.000000000000000e0
